track_title,track_speaker,track_duration,comment_timestamp,comment_url,comment_commenter_username,comment_keyword
"Wesley A March 4 - 2015 - 03 - 04, 5.56 PM",Wesley A,689697,322470,http://soundcloud.com/openedmonton/wesley-a-march-4-2015-03-04-556-pm#t=5m22s,cmoresid,winter
"Wesley A March 4 - 2015 - 03 - 04, 5.56 PM",Wesley A,689697,322470,http://soundcloud.com/openedmonton/wesley-a-march-4-2015-03-04-556-pm#t=5m22s,cmoresid,grandparents
"Wesley A March 4 - 2015 - 03 - 04, 5.56 PM",Wesley A,689697,256666,http://soundcloud.com/openedmonton/wesley-a-march-4-2015-03-04-556-pm#t=4m16s,cmoresid,winter
"Wesley A March 4 - 2015 - 03 - 04, 5.56 PM",Wesley A,689697,256666,http://soundcloud.com/openedmonton/wesley-a-march-4-2015-03-04-556-pm#t=4m16s,cmoresid,dark
"Wesley A March 4 - 2015 - 03 - 04, 5.56 PM",Wesley A,689697,204261,http://soundcloud.com/openedmonton/wesley-a-march-4-2015-03-04-556-pm#t=3m24s,cmoresid,west edmonton mall
"Wesley A March 4 - 2015 - 03 - 04, 5.56 PM",Wesley A,689697,189248,http://soundcloud.com/openedmonton/wesley-a-march-4-2015-03-04-556-pm#t=3m9s,cmoresid,winter changing
"Wesley A March 4 - 2015 - 03 - 04, 5.56 PM",Wesley A,689697,128716,http://soundcloud.com/openedmonton/wesley-a-march-4-2015-03-04-556-pm#t=2m8s,cmoresid,volunteer
"Wesley A March 4 - 2015 - 03 - 04, 5.56 PM",Wesley A,689697,83710,http://soundcloud.com/openedmonton/wesley-a-march-4-2015-03-04-556-pm#t=1m23s,cmoresid,deep freeze festival
"Wesley A March 4 - 2015 - 03 - 04, 5.56 PM",Wesley A,689697,70035,http://soundcloud.com/openedmonton/wesley-a-march-4-2015-03-04-556-pm#t=1m10s,cmoresid,alberta avenue
"Wesley A March 4 - 2015 - 03 - 04, 5.56 PM",Wesley A,689697,48873,http://soundcloud.com/openedmonton/wesley-a-march-4-2015-03-04-556-pm#t=0m48s,cmoresid,winter
"Wesley A March 4 - 2015 - 03 - 04, 5.56 PM",Wesley A,689697,18411,http://soundcloud.com/openedmonton/wesley-a-march-4-2015-03-04-556-pm#t=0m18s,cmoresid,new opportunities
"Wesley A March 4 - 2015 - 03 - 04, 5.56 PM",Wesley A,689697,10772,http://soundcloud.com/openedmonton/wesley-a-march-4-2015-03-04-556-pm#t=0m10s,cmoresid,edmonton
"Wesley A March 4 - 2015 - 03 - 04, 5.56 PM",Wesley A,689697,10772,http://soundcloud.com/openedmonton/wesley-a-march-4-2015-03-04-556-pm#t=0m10s,cmoresid,4 years
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,617348,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=10m17s,OpenEdmonton,dangerous
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,617348,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=10m17s,OpenEdmonton,changed
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,617348,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=10m17s,OpenEdmonton,rough
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,574459,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=9m34s,OpenEdmonton,@openedmonton: Sandra
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,574459,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=9m34s,OpenEdmonton,John Wayne
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,546417,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=9m6s,OpenEdmonton,Westmount
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,511776,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=8m31s,OpenEdmonton,Eatons
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,511776,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=8m31s,OpenEdmonton,Groceteria
"Sandra March 19 - 2015 - 03 - 18, 5.26 PM",Sandra,676320,461464,http://soundcloud.com/openedmonton/sandra-march-19-2015-03-18-526-pm#t=7m41s,OpenEdmonton,Downtown
